"","phase","question","trialNum","swatch","response","responseCoded","rt","subid","age","timeOfTest","condition","gender","englishExposure","trialComments","sessionComments","ageCalc"
"159","bonus","Do you think this one can feel pain?",15,"BI2A00044","maybe NO",-0.5,25126,"k06",5.961643836,"13:18","set3","female","always","cuz it's not an animal",NA,5y 0m 349d 18H 0M 0S
"160","bonus","Do you think this one can sense things close by?",16,"BI2A00028","maybe NO",-0.5,10113,"k06",5.961643836,"13:18","set3","female","always","",NA,5y 0m 349d 18H 0M 0S
"161","bonus","Do you think this one can hear?",17,"BI2A00026","NO",NA,9951,"k06",5.961643836,"13:18","set3","female","always","",NA,5y 0m 349d 18H 0M 0S
"162","bonus","Do you think this one has feelings?",18,"BI2A00046","maybe NO",-0.5,8220,"k06",5.961643836,"13:18","set3","female","always","",NA,5y 0m 349d 18H 0M 0S
"163","bonus","Do you think this one can feel happy?",19,"BI2A00021","definitely NO",-1.5,8645,"k06",5.961643836,"13:18","set3","female","always","",NA,5y 0m 349d 18H 0M 0S
"164","bonus","Do you think this one can think?",20,"BI2A00037","definitely NO",-1.5,16878,"k06",5.961643836,"13:18","set3","female","always","because it looks",NA,5y 0m 349d 18H 0M 0S
"165","practice",NA,-3,"apple_1","skip",NA,13755,"k07",5.465753425,"13:31","set4","male","often","","limited English - drop",5y 0m 168d 18H 0M 0S
"166","practice",NA,-2,"apple_2","skip",NA,3578,"k07",5.465753425,"13:31","set4","male","often","","limited English - drop",5y 0m 168d 18H 0M 0S
"167","practice",NA,-1,"apple_3","skip",NA,3124,"k07",5.465753425,"13:31","set4","male","often","","limited English - drop",5y 0m 168d 18H 0M 0S
"168","practice",NA,0,"apple_1","skip",NA,7944,"k07",5.465753425,"13:31","set4","male","often","","limited English - drop",5y 0m 168d 18H 0M 0S
"169","study","Do you think this one is an animal?",1,"BI2A00039","skip",NA,6007,"k07",5.465753425,"13:31","set4","male","often","","limited English - drop",5y 0m 168d 18H 0M 0S
"170","study","Do you think this one is an animal?",2,"BI2A00001","YES",NA,15449,"k07",5.465753425,"13:31","set4","male","often","","limited English - drop",5y 0m 168d 18H 0M 0S
"171","study","Do you think this one is an animal?",3,"BI2A00042","skip",NA,12741,"k07",5.465753425,"13:31","set4","male","often","black","limited English - drop",5y 0m 168d 18H 0M 0S
"172","study","Do you think this one is an animal?",4,"BI2A00029","YES",NA,25879,"k07",5.465753425,"13:31","set4","male","often","white; sheep","limited English - drop",5y 0m 168d 18H 0M 0S
"173","study","Do you think this one is an animal?",5,"BI2A00048","YES",NA,8537,"k07",5.465753425,"13:31","set4","male","often","zebra","limited English - drop",5y 0m 168d 18H 0M 0S
"174","study","Do you think this one is an animal?",6,"BI2A00021","YES",NA,10776,"k07",5.465753425,"13:31","set4","male","often","bear","limited English - drop",5y 0m 168d 18H 0M 0S
"175","study","Do you think this one is an animal?",7,"BI2A00022","YES",NA,9145,"k07",5.465753425,"13:31","set4","male","often","owl","limited English - drop",5y 0m 168d 18H 0M 0S
"176","study","Do you think this one is an animal?",8,"BI2A00024","YES",NA,9588,"k07",5.465753425,"13:31","set4","male","often","porcupine","limited English - drop",5y 0m 168d 18H 0M 0S
"177","study","Do you think this one is an animal?",9,"BI2A00009","YES",NA,9498,"k07",5.465753425,"13:31","set4","male","often","dog","limited English - drop",5y 0m 168d 18H 0M 0S
"178","study","Do you think this one is an animal?",10,"BI2A00012","NO",NA,19915,"k07",5.465753425,"13:31","set4","male","often","not","limited English - drop",5y 0m 168d 18H 0M 0S
"179","study","Do you think this one is an animal?",11,"BI2A00023","YES",NA,9564,"k07",5.465753425,"13:31","set4","male","often","porcupine","limited English - drop",5y 0m 168d 18H 0M 0S
"180","study","Do you think this one is an animal?",12,"BI2A00011","YES",NA,8054,"k07",5.465753425,"13:31","set4","male","often","elephant","limited English - drop",5y 0m 168d 18H 0M 0S
"181","practice",NA,-3,"apple_1","skip",NA,13891,"k08",4.18630137,"14:15","set1","female","always","",NA,4y 0m 67d 0H 0M 0S
"182","practice",NA,-2,"apple_2","skip",NA,3231,"k08",4.18630137,"14:15","set1","female","always","",NA,4y 0m 67d 0H 0M 0S
"183","practice",NA,-1,"apple_3","skip",NA,5369,"k08",4.18630137,"14:15","set1","female","always","",NA,4y 0m 67d 0H 0M 0S
"184","practice",NA,0,"apple_1","skip",NA,10423,"k08",4.18630137,"14:15","set1","female","always","",NA,4y 0m 67d 0H 0M 0S
"185","study","Do you think this one is an animal?",1,"BI2A00031","maybe NO",-0.5,17447,"k08",4.18630137,"14:15","set1","female","always","carpet",NA,4y 0m 67d 0H 0M 0S
"186","study","Do you think this one is an animal?",2,"BI2A00030","maybe YES",0.5,24926,"k08",4.18630137,"14:15","set1","female","always","",NA,4y 0m 67d 0H 0M 0S
"187","study","Do you think this one is an animal?",3,"BI2A00014","NO",NA,24404,"k08",4.18630137,"14:15","set1","female","always","no",NA,4y 0m 67d 0H 0M 0S
"188","study","Do you think this one is an animal?",4,"BI2A00003","definitely YES",1.5,15998,"k08",4.18630137,"14:15","set1","female","always","kitty",NA,4y 0m 67d 0H 0M 0S
"189","study","Do you think this one is an animal?",5,"BI2A00015","NO",NA,14823,"k08",4.18630137,"14:15","set1","female","always","no",NA,4y 0m 67d 0H 0M 0S
"190","study","Do you think this one is an animal?",6,"BI2A00043","definitely NO",-1.5,13765,"k08",4.18630137,"14:15","set1","female","always","ocean",NA,4y 0m 67d 0H 0M 0S
"191","study","Do you think this one is an animal?",7,"BI2A00033","definitely NO",-1.5,18447,"k08",4.18630137,"14:15","set1","female","always","mulch, sidewalk",NA,4y 0m 67d 0H 0M 0S
"192","study","Do you think this one is an animal?",8,"BI2A00028","definitely NO",-1.5,20649,"k08",4.18630137,"14:15","set1","female","always","weird",NA,4y 0m 67d 0H 0M 0S
"193","study","Do you think this one is an animal?",9,"BI2A00046","maybe NO",-0.5,16193,"k08",4.18630137,"14:15","set1","female","always","picnic basket",NA,4y 0m 67d 0H 0M 0S
"194","study","Do you think this one is an animal?",10,"BI2A00047","definitely NO",-1.5,13093,"k08",4.18630137,"14:15","set1","female","always","carpet",NA,4y 0m 67d 0H 0M 0S
"195","study","Do you think this one is an animal?",11,"BI2A00020","definitely YES",1.5,14720,"k08",4.18630137,"14:15","set1","female","always","dog",NA,4y 0m 67d 0H 0M 0S
"196","study","Do you think this one is an animal?",12,"BI2A00008","definitely YES",1.5,13082,"k08",4.18630137,"14:15","set1","female","always","cat",NA,4y 0m 67d 0H 0M 0S
"197","bonus","Do you think this one can feel hungry?",13,"BI2A00026","YES",NA,16476,"k08",4.18630137,"14:15","set1","female","always","",NA,4y 0m 67d 0H 0M 0S
"198","bonus","Do you think this one has feelings?",14,"BI2A00011","NO",NA,13492,"k08",4.18630137,"14:15","set1","female","always","elephants",NA,4y 0m 67d 0H 0M 0S
"199","bonus","Do you think this one can sense things close by?",15,"BI2A00046","NO",NA,12130,"k08",4.18630137,"14:15","set1","female","always","",NA,4y 0m 67d 0H 0M 0S
"200","practice",NA,-3,"apple_1","skip",NA,11855,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"201","practice",NA,-2,"apple_2","skip",NA,2956,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"202","practice",NA,-1,"apple_3","skip",NA,3408,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"203","practice",NA,0,"apple_1","skip",NA,10591,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"204","study","Do you think this one is an animal?",1,"BI2A00045","definitely NO",-1.5,13824,"k09",6.345205479,"14:44","set2","male",NA,"basket","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"205","study","Do you think this one is an animal?",2,"BI2A00006","definitely YES",1.5,15206,"k09",6.345205479,"14:44","set2","male",NA,"hamster","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"206","study","Do you think this one is an animal?",3,"BI2A00040","definitely NO",-1.5,10062,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"207","study","Do you think this one is an animal?",4,"BI2A00041","definitely NO",-1.5,16326,"k09",6.345205479,"14:44","set2","male",NA,"plastic","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"208","study","Do you think this one is an animal?",5,"BI2A00034","definitely NO",-1.5,19656,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"209","study","Do you think this one is an animal?",6,"BI2A00037","definitely NO",-1.5,18324,"k09",6.345205479,"14:44","set2","male",NA,"hay","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"210","study","Do you think this one is an animal?",7,"BI2A00032","definitely NO",-1.5,19160,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"211","study","Do you think this one is an animal?",8,"BI2A00038","definitely NO",-1.5,15997,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"212","study","Do you think this one is an animal?",9,"BI2A00016","definitely NO",-1.5,16314,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"213","study","Do you think this one is an animal?",10,"BI2A00004","maybe YES",0.5,17960,"k09",6.345205479,"14:44","set2","male",NA,"maybe it's a rat","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"214","study","Do you think this one is an animal?",11,"BI2A00002","definitely YES",1.5,31946,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"215","study","Do you think this one is an animal?",12,"BI2A00013","definitely YES",1.5,22326,"k09",6.345205479,"14:44","set2","male",NA,"hamster","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"216","bonus","Do you think this one has feelings?",13,"BI2A00037","definitely YES",1.5,18585,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"217","bonus","Do you think this one can hear?",14,"BI2A00021","definitely NO",-1.5,14737,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"218","bonus","Do you think this one can remember things?",15,"BI2A00044","definitely NO",-1.5,9820,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"219","bonus","Do you think this one can think?",16,"BI2A00046","maybe NO",-0.5,11050,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"220","bonus","Do you think this one can sense things close by?",17,"BI2A00006","maybe YES",0.5,10762,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"221","bonus","Do you think this one can feel hungry?",18,"BI2A00011","maybe NO",-0.5,13731,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"222","bonus","Do you think this one can feel happy?",19,"BI2A00026","maybe YES",0.5,15438,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"223","bonus","Do you think this one can feel pain?",20,"BI2A00028","maybe YES",0.5,10795,"k09",6.345205479,"14:44","set2","male",NA,"","no year on consent form; both said 6yo",6y 0m 124d 12H 0M 0S
"224","practice",NA,-3,"apple_1","skip",NA,12091,"k10",6.430136986,"14:57","set4","female",NA,"","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"225","practice",NA,-2,"apple_2","skip",NA,5919,"k10",6.430136986,"14:57","set4","female",NA,"","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"226","practice",NA,-1,"apple_3","skip",NA,25634,"k10",6.430136986,"14:57","set4","female",NA,"","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"227","practice",NA,0,"apple_1","skip",NA,11199,"k10",6.430136986,"14:57","set4","female",NA,"","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"228","study","Do you think this one is an animal?",1,"BI2A00024","definitely YES",1.5,18491,"k10",6.430136986,"14:57","set4","female",NA,"procupine","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"229","study","Do you think this one is an animal?",2,"BI2A00012","maybe YES",0.5,20357,"k10",6.430136986,"14:57","set4","female",NA,"challenging","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"230","study","Do you think this one is an animal?",3,"BI2A00021","definitely NO",-1.5,13840,"k10",6.430136986,"14:57","set4","female",NA,"desert sand","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"231","study","Do you think this one is an animal?",4,"BI2A00039","definitely NO",-1.5,11798,"k10",6.430136986,"14:57","set4","female",NA,"wood chips","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"232","study","Do you think this one is an animal?",5,"BI2A00009","definitely YES",1.5,14893,"k10",6.430136986,"14:57","set4","female",NA,"animal; cuz I can see the fur","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"233","study","Do you think this one is an animal?",6,"BI2A00023","maybe NO",-0.5,24471,"k10",6.430136986,"14:57","set4","female",NA,"challenging","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"234","study","Do you think this one is an animal?",7,"BI2A00042","definitely NO",-1.5,25831,"k10",6.430136986,"14:57","set4","female",NA,"painted picture; cuz it doesn't have fur or just bare skin","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"235","study","Do you think this one is an animal?",8,"BI2A00029","definitely NO",-1.5,11259,"k10",6.430136986,"14:57","set4","female",NA,"carpet","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"236","study","Do you think this one is an animal?",9,"BI2A00048","definitely NO",-1.5,10465,"k10",6.430136986,"14:57","set4","female",NA,"carpet","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"237","study","Do you think this one is an animal?",10,"BI2A00022","definitely YES",1.5,16034,"k10",6.430136986,"14:57","set4","female",NA,"animal, cuz I can see the fur","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"238","study","Do you think this one is an animal?",11,"BI2A00001","definitely YES",1.5,6617,"k10",6.430136986,"14:57","set4","female",NA,"","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"239","study","Do you think this one is an animal?",12,"BI2A00011","definitely YES",1.5,9549,"k10",6.430136986,"14:57","set4","female",NA,"elephant, can tell","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"240","bonus","Do you think this one can feel happy?",13,"BI2A00011","definitely YES",1.5,11126,"k10",6.430136986,"14:57","set4","female",NA,"","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"241","bonus","Do you think this one has feelings?",14,"BI2A00044","definitely NO",-1.5,9378,"k10",6.430136986,"14:57","set4","female",NA,"","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"242","bonus","Do you think this one can think?",15,"BI2A00028","maybe NO",-0.5,18497,"k10",6.430136986,"14:57","set4","female",NA,"carpet; actually maybe an animal","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"243","bonus","Do you think this one can sense things close by?",16,"BI2A00026","maybe YES",0.5,14434,"k10",6.430136986,"14:57","set4","female",NA,"animal","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"244","bonus","Do you think this one can feel pain?",17,"BI2A00037","maybe YES",0.5,13248,"k10",6.430136986,"14:57","set4","female",NA,"I guess so","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"245","bonus","Do you think this one can feel hungry?",18,"BI2A00021","definitely NO",-1.5,10912,"k10",6.430136986,"14:57","set4","female",NA,"desert sand","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"246","bonus","Do you think this one can hear?",19,"BI2A00046","definitely NO",-1.5,7634,"k10",6.430136986,"14:57","set4","female",NA,"","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"247","bonus","Do you think this one can remember things?",20,"BI2A00006","definitely YES",1.5,10974,"k10",6.430136986,"14:57","set4","female",NA,"guinea pig","no year on consent form; both said 6yo",6y 0m 155d 12H 0M 0S
"248","practice",NA,-3,"apple_1","skip",NA,13675,"k11",5.123287671,"15:06","set1","female","always","",NA,5y 0m 43d 18H 0M 0S
"249","practice",NA,-2,"apple_2","skip",NA,2823,"k11",5.123287671,"15:06","set1","female","always","",NA,5y 0m 43d 18H 0M 0S
"250","practice",NA,-1,"apple_3","skip",NA,4634,"k11",5.123287671,"15:06","set1","female","always","",NA,5y 0m 43d 18H 0M 0S
"251","practice",NA,0,"apple_1","skip",NA,11961,"k11",5.123287671,"15:06","set1","female","always","",NA,5y 0m 43d 18H 0M 0S
"252","study","Do you think this one is an animal?",1,"BI2A00014","maybe YES",0.5,17969,"k11",5.123287671,"15:06","set1","female","always","mouse",NA,5y 0m 43d 18H 0M 0S
"253","study","Do you think this one is an animal?",2,"BI2A00046","definitely NO",-1.5,27988,"k11",5.123287671,"15:06","set1","female","always","basket; because it has diamonds and animals don't have diamonds",NA,5y 0m 43d 18H 0M 0S
"254","study","Do you think this one is an animal?",3,"BI2A00028","maybe YES",0.5,18353,"k11",5.123287671,"15:06","set1","female","always","mole",NA,5y 0m 43d 18H 0M 0S
"255","study","Do you think this one is an animal?",4,"BI2A00033","definitely NO",-1.5,28086,"k11",5.123287671,"15:06","set1","female","always","brown rock, because it looks kind of hard and animals are not",NA,5y 0m 43d 18H 0M 0S
"256","study","Do you think this one is an animal?",5,"BI2A00008","definitely YES",1.5,22362,"k11",5.123287671,"15:06","set1","female","always","part of a lion's mane, because it has fur",NA,5y 0m 43d 18H 0M 0S
"257","study","Do you think this one is an animal?",6,"BI2A00031","definitely NO",-1.5,13374,"k11",5.123287671,"15:06","set1","female","always","carpet",NA,5y 0m 43d 18H 0M 0S
"258","study","Do you think this one is an animal?",7,"BI2A00047","skip",NA,39184,"k11",5.123287671,"15:06","set1","female","always","carpet at home, maybe a sheep wool, I don't know, maybe",NA,5y 0m 43d 18H 0M 0S
"259","study","Do you think this one is an animal?",8,"BI2A00020","definitely YES",1.5,11914,"k11",5.123287671,"15:06","set1","female","always","bear's fur, because it has fur",NA,5y 0m 43d 18H 0M 0S
"260","study","Do you think this one is an animal?",9,"BI2A00043","definitely NO",-1.5,43735,"k11",5.123287671,"15:06","set1","female","always","looks like maybe a window that's silver, because it has reflection",NA,5y 0m 43d 18H 0M 0S
"261","study","Do you think this one is an animal?",10,"BI2A00003","definitely YES",1.5,16154,"k11",5.123287671,"15:06","set1","female","always","soft type of porcupine",NA,5y 0m 43d 18H 0M 0S
"262","study","Do you think this one is an animal?",11,"BI2A00030","definitely NO",-1.5,16276,"k11",5.123287671,"15:06","set1","female","always","type of carpet",NA,5y 0m 43d 18H 0M 0S
"263","study","Do you think this one is an animal?",12,"BI2A00015","definitely YES",1.5,23548,"k11",5.123287671,"15:06","set1","female","always","animal - not",NA,5y 0m 43d 18H 0M 0S
"264","bonus","Do you think this one can think?",13,"BI2A00011","maybe YES",0.5,34426,"k11",5.123287671,"15:06","set1","female","always","armadillo, smart animal",NA,5y 0m 43d 18H 0M 0S
"265","bonus","Do you think this one can feel happy?",14,"BI2A00028","maybe YES",0.5,10155,"k11",5.123287671,"15:06","set1","female","always","",NA,5y 0m 43d 18H 0M 0S
"266","bonus","Do you think this one has feelings?",15,"BI2A00006","definitely YES",1.5,31211,"k11",5.123287671,"15:06","set1","female","always","mad feelings, might be a porcupine, spikes",NA,5y 0m 43d 18H 0M 0S
"267","bonus","Do you think this one can hear?",16,"BI2A00046","definitely NO",-1.5,9120,"k11",5.123287671,"15:06","set1","female","always","",NA,5y 0m 43d 18H 0M 0S
"268","bonus","Do you think this one can remember things?",17,"BI2A00021","definitely NO",-1.5,22546,"k11",5.123287671,"15:06","set1","female","always","because it's not alive, because it looks like a rock",NA,5y 0m 43d 18H 0M 0S
"269","bonus","Do you think this one can feel pain?",18,"BI2A00026","maybe NO",-0.5,35249,"k11",5.123287671,"15:06","set1","female","always","no if something eats it",NA,5y 0m 43d 18H 0M 0S
"270","bonus","Do you think this one can sense things close by?",19,"BI2A00044","maybe NO",-0.5,28099,"k11",5.123287671,"15:06","set1","female","always","no",NA,5y 0m 43d 18H 0M 0S
"271","bonus","Do you think this one can feel hungry?",20,"BI2A00037","definitely NO",-1.5,18315,"k11",5.123287671,"15:06","set1","female","always","maybe it's food, it's actually",NA,5y 0m 43d 18H 0M 0S
"272","practice",NA,-3,"apple_1","skip",NA,13285,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"273","practice",NA,-2,"apple_2","skip",NA,4920,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"274","practice",NA,-1,"apple_3","skip",NA,4082,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"275","practice",NA,0,"apple_1","skip",NA,10913,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"276","study","Do you think this one is an animal?",1,"BI2A00046","definitely NO",-1.5,31193,"k12",4.934246575,"9:51","set1","m","always","gate",NA,4y 0m 340d 0H 0M 0S
"277","study","Do you think this one is an animal?",2,"BI2A00030","definitely YES",1.5,26607,"k12",4.934246575,"9:51","set1","m","always","elephant or wall",NA,4y 0m 340d 0H 0M 0S
"278","study","Do you think this one is an animal?",3,"BI2A00043","definitely YES",1.5,18007,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"279","study","Do you think this one is an animal?",4,"BI2A00020","definitely YES",1.5,10344,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"280","study","Do you think this one is an animal?",5,"BI2A00014","definitely NO",-1.5,11284,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"281","study","Do you think this one is an animal?",6,"BI2A00028","definitely YES",1.5,15463,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"282","study","Do you think this one is an animal?",7,"BI2A00047","definitely NO",-1.5,13038,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"283","study","Do you think this one is an animal?",8,"BI2A00031","definitely NO",-1.5,19389,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"284","study","Do you think this one is an animal?",9,"BI2A00033","NO",NA,15487,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"285","study","Do you think this one is an animal?",10,"BI2A00003","definitely YES",1.5,9370,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"286","study","Do you think this one is an animal?",11,"BI2A00008","definitely YES",1.5,10763,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"287","study","Do you think this one is an animal?",12,"BI2A00015","definitely NO",-1.5,9201,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"288","bonus","Do you think this one can feel pain?",13,"BI2A00006","definitely YES",1.5,41134,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"289","bonus","Do you think this one can feel happy?",14,"BI2A00046","definitely YES",1.5,25792,"k12",4.934246575,"9:51","set1","m","always","because it's a porcupine, it has quills, it could get on you and if you take it off it would hurt",NA,4y 0m 340d 0H 0M 0S
"290","bonus","Do you think this one has feelings?",15,"BI2A00028","definitely YES",1.5,17687,"k12",4.934246575,"9:51","set1","m","always","because it's a gate, it can hold the porcupine back",NA,4y 0m 340d 0H 0M 0S
"291","bonus","Do you think this one can sense things close by?",16,"BI2A00021","definitely YES",1.5,11729,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"292","bonus","Do you think this one can hear?",17,"BI2A00037","definitely YES",1.5,7837,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"293","bonus","Do you think this one can remember things?",18,"BI2A00044","definitely NO",-1.5,8490,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"294","bonus","Do you think this one can feel hungry?",19,"BI2A00011","definitely YES",1.5,10965,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"295","bonus","Do you think this one can think?",20,"BI2A00026","definitely YES",1.5,7716,"k12",4.934246575,"9:51","set1","m","always","",NA,4y 0m 340d 0H 0M 0S
"296","practice",NA,-3,"apple_1","skip",NA,13451,"k13",4.583561644,"10:45","set3","f","always",NA,NA,4y 0m 212d 0H 0M 0S
"297","practice",NA,-2,"apple_2","skip",NA,4620,"k13",4.583561644,"10:45","set3","f","always",NA,NA,4y 0m 212d 0H 0M 0S
"298","practice",NA,-1,"apple_3","skip",NA,5652,"k13",4.583561644,"10:45","set3","f","always",NA,NA,4y 0m 212d 0H 0M 0S
"299","practice",NA,0,"apple_1","skip",NA,10506,"k13",4.583561644,"10:45","set3","f","always",NA,NA,4y 0m 212d 0H 0M 0S
"300","study","Do you think this one is an animal?",1,"BI2A00018","skip",NA,28845,"k13",4.583561644,"10:45","set3","f","always",NA,NA,4y 0m 212d 0H 0M 0S
"301","study","Do you think this one is an animal?",2,"BI2A00044","NO",NA,28427,"k13",4.583561644,"10:45","set3","f","always",NA,NA,4y 0m 212d 0H 0M 0S
"302","study","Do you think this one is an animal?",3,"BI2A00010","skip",NA,42283,"k13",4.583561644,"10:45","set3","f","always",NA,NA,4y 0m 212d 0H 0M 0S
"303","study","Do you think this one is an animal?",4,"BI2A00035","NO",NA,22238,"k13",4.583561644,"10:45","set3","f","always",NA,NA,4y 0m 212d 0H 0M 0S
"304","study","Do you think this one is an animal?",5,"BI2A00027","skip",NA,19660,"k13",4.583561644,"10:45","set3","f","always",NA,NA,4y 0m 212d 0H 0M 0S
"305","study","Do you think this one is an animal?",6,"BI2A00025","NO",NA,20463,"k13",4.583561644,"10:45","set3","f","always",NA,NA,4y 0m 212d 0H 0M 0S
"306","study","Do you think this one is an animal?",7,"BI2A00036","NO",NA,12016,"k13",4.583561644,"10:45","set3","f","always",NA,NA,4y 0m 212d 0H 0M 0S
"307","study","Do you think this one is an animal?",8,"BI2A00019","YES",NA,16698,"k13",4.583561644,"10:45","set3","f","always",NA,NA,4y 0m 212d 0H 0M 0S
"308","study","Do you think this one is an animal?",9,"BI2A00005","YES",NA,10507,"k13",4.583561644,"10:45","set3","f","always",NA,NA,4y 0m 212d 0H 0M 0S
"309","study","Do you think this one is an animal?",10,"BI2A00017","NO",NA,8674,"k13",4.583561644,"10:45","set3","f","always",NA,NA,4y 0m 212d 0H 0M 0S
"310","study","Do you think this one is an animal?",11,"BI2A00007","skip",NA,19693,"k13",4.583561644,"10:45","set3","f","always",NA,NA,4y 0m 212d 0H 0M 0S
"311","study","Do you think this one is an animal?",12,"BI2A00026","NO",NA,6237,"k13",4.583561644,"10:45","set3","f","always",NA,NA,4y 0m 212d 0H 0M 0S
"312","practice",NA,-3,"apple_1","skip",NA,18242,"k14",4.578082192,"11:05","set1","f",NA,NA,NA,4y 0m 210d 0H 0M 0S
"313","practice",NA,-2,"apple_2","skip",NA,6409,"k14",4.578082192,"11:05","set1","f",NA,NA,NA,4y 0m 210d 0H 0M 0S
"314","practice",NA,-1,"apple_3","skip",NA,4997,"k14",4.578082192,"11:05","set1","f",NA,NA,NA,4y 0m 210d 0H 0M 0S
